epoch, d_loss, acc, g_loss
0, 0.806680, 39.06%, 0.758753
200, 0.515872, 73.44%, 4.507392
400, 0.526058, 71.88%, 2.587688
600, 0.585370, 71.88%, 1.850918
800, 0.631980, 76.56%, 1.770723
1000, 0.694768, 54.69%, 0.908310
1200, 0.676057, 50.00%, 0.897815
1400, 0.658392, 62.50%, 0.822450
1600, 0.661137, 71.88%, 0.858670
1800, 0.657654, 57.81%, 0.807197
2000, 0.699424, 51.56%, 0.800823
2200, 0.657436, 60.94%, 0.778273
2400, 0.670273, 56.25%, 0.797695
2600, 0.644769, 59.38%, 0.817442
2800, 0.728737, 56.25%, 0.789297
3000, 0.670431, 59.38%, 0.843892
3200, 0.703503, 53.12%, 0.742346
3400, 0.661415, 64.06%, 0.829462
3600, 0.664469, 57.81%, 0.826769
3800, 0.696829, 50.00%, 0.890982
4000, 0.667637, 56.25%, 0.769833
4200, 0.663206, 54.69%, 0.798732
4400, 0.677611, 54.69%, 0.821262
4600, 0.694656, 43.75%, 0.776367
4800, 0.664280, 57.81%, 0.763722
5000, 0.676809, 62.50%, 0.770551
5200, 0.673199, 48.44%, 0.773895
5400, 0.672820, 56.25%, 0.798833
5600, 0.676610, 56.25%, 0.772190
5800, 0.673014, 51.56%, 0.784405
6000, 0.721075, 43.75%, 0.795752
6200, 0.715468, 34.38%, 0.811059
6400, 0.695939, 51.56%, 0.811952
6600, 0.696914, 60.94%, 0.799863
6800, 0.659208, 60.94%, 0.775999
7000, 0.692325, 56.25%, 0.886185
7200, 0.665583, 56.25%, 0.830281
7400, 0.656309, 56.25%, 0.825613
7600, 0.685321, 48.44%, 0.827137
7800, 0.665883, 54.69%, 0.856687
8000, 0.686702, 54.69%, 0.802659
8200, 0.682083, 48.44%, 0.773026
8400, 0.717370, 48.44%, 0.823628
8600, 0.646712, 64.06%, 0.851313
8800, 0.676083, 56.25%, 0.851468
9000, 0.701424, 56.25%, 0.843123
9200, 0.638067, 67.19%, 0.848014
9400, 0.661277, 60.94%, 0.846949
9600, 0.671650, 53.12%, 0.843411
9800, 0.661119, 59.38%, 0.791794
10000, 0.630922, 68.75%, 0.831596
10200, 0.629069, 75.00%, 0.856323
10400, 0.682213, 56.25%, 0.819285
10600, 0.734245, 46.88%, 0.813042
10800, 0.668310, 48.44%, 0.879917
11000, 0.667764, 59.38%, 0.862361
11200, 0.655882, 65.62%, 0.844911
11400, 0.655178, 59.38%, 0.820460
11600, 0.657199, 54.69%, 1.061396
11800, 0.672465, 54.69%, 0.956903
12000, 0.656838, 64.06%, 0.850971
12200, 0.627264, 59.38%, 0.848104
12400, 0.638530, 62.50%, 0.837056
12600, 0.694775, 46.88%, 0.916493
12800, 0.636773, 64.06%, 0.886005
13000, 0.700074, 57.81%, 0.847453
13200, 0.644246, 56.25%, 0.864697
13400, 0.686228, 53.12%, 0.892466
13600, 0.661167, 56.25%, 1.020534
13800, 0.617314, 73.44%, 0.897793
14000, 0.603705, 62.50%, 0.904805
14200, 0.705678, 53.12%, 0.854084
14400, 0.660517, 62.50%, 0.887345
14600, 0.624423, 60.94%, 0.942133
14800, 0.628255, 62.50%, 0.954458
15000, 0.693016, 54.69%, 0.913740
15200, 0.775295, 45.31%, 0.828131
15400, 0.638672, 53.12%, 0.893857
15600, 0.636085, 60.94%, 0.936716
15800, 0.587309, 68.75%, 0.839744
16000, 0.576661, 79.69%, 0.845734
16200, 0.624833, 56.25%, 0.875890
16400, 0.608302, 65.62%, 0.958372
16600, 0.663294, 56.25%, 0.863853
16800, 0.688411, 56.25%, 0.899924
17000, 0.661953, 57.81%, 0.929057
17200, 0.660079, 59.38%, 0.874959
17400, 0.669925, 54.69%, 0.917539
17600, 0.648180, 51.56%, 0.917482
17800, 0.722963, 48.44%, 0.876430
18000, 0.595583, 67.19%, 0.949383
18200, 0.637684, 57.81%, 1.061400
18400, 0.689288, 54.69%, 0.875233
18600, 0.667145, 62.50%, 0.897957
18800, 0.587264, 68.75%, 1.040615
19000, 0.717371, 48.44%, 0.895606
19200, 0.646115, 64.06%, 1.001467
19400, 0.651600, 56.25%, 0.931246
19600, 0.656285, 54.69%, 0.968830
19800, 0.699811, 39.06%, 0.996168
20000, 0.661483, 59.38%, 0.966133
20200, 0.627907, 65.62%, 0.979571
20400, 0.661399, 59.38%, 1.055474
20600, 0.627463, 54.69%, 0.955460
20800, 0.572106, 65.62%, 0.899301
21000, 0.593513, 68.75%, 0.861235
21200, 0.589904, 73.44%, 0.930628
21400, 0.608671, 65.62%, 0.890697
21600, 0.682737, 57.81%, 0.937558
21800, 0.706299, 57.81%, 0.998685
22000, 0.652664, 62.50%, 0.883523
22200, 0.632290, 67.19%, 0.995509
22400, 0.650669, 57.81%, 0.865929
22600, 0.672987, 57.81%, 1.056617
22800, 0.688690, 51.56%, 0.986089
23000, 0.652973, 59.38%, 0.866687
23200, 0.675411, 50.00%, 0.849666
23400, 0.602318, 68.75%, 0.990733
23600, 0.682873, 53.12%, 0.910740
23800, 0.683028, 62.50%, 1.026732
24000, 0.623269, 65.62%, 0.908351
24200, 0.619045, 57.81%, 0.930679
24400, 0.600052, 70.31%, 0.795844
24600, 0.660222, 54.69%, 0.877682
24800, 0.634697, 56.25%, 0.869118
25000, 0.628140, 64.06%, 0.956731
25200, 0.565885, 78.12%, 0.959149
25400, 0.647147, 62.50%, 0.964418
25600, 0.636963, 70.31%, 1.063609
25800, 0.642701, 57.81%, 0.940997
26000, 0.579847, 71.88%, 0.898270
26200, 0.611012, 62.50%, 1.075309
26400, 0.722283, 56.25%, 0.977650
26600, 0.596247, 62.50%, 0.916130
26800, 0.643453, 53.12%, 0.933942
27000, 0.659240, 51.56%, 0.891693
27200, 0.615429, 51.56%, 0.936527
27400, 0.536880, 73.44%, 1.057867
27600, 0.680993, 57.81%, 1.015056
27800, 0.554689, 71.88%, 0.915236
28000, 0.633960, 56.25%, 0.984287
28200, 0.601488, 67.19%, 1.029520
28400, 0.608222, 64.06%, 1.013179
28600, 0.627850, 62.50%, 0.961841
28800, 0.621669, 65.62%, 0.979720
29000, 0.678027, 59.38%, 0.954959
29200, 0.632192, 57.81%, 0.992108
29400, 0.655674, 51.56%, 0.888482
29600, 0.705932, 53.12%, 1.079139
29800, 0.585013, 73.44%, 1.002356
30000, 0.644524, 65.62%, 0.996808
30200, 0.605667, 65.62%, 0.907905
30400, 0.591727, 67.19%, 0.945809
30600, 0.586300, 67.19%, 0.976987
30800, 0.638621, 60.94%, 0.941133
31000, 0.699944, 51.56%, 1.041865
31200, 0.594263, 59.38%, 1.049747
31400, 0.642534, 59.38%, 1.178545
31600, 0.531508, 67.19%, 0.968269
31800, 0.666376, 56.25%, 0.944787
32000, 0.670790, 62.50%, 1.043963
32200, 0.654216, 62.50%, 0.931713
32400, 0.644169, 56.25%, 0.981673
32600, 0.604472, 59.38%, 0.968771
32800, 0.637623, 56.25%, 1.068235
33000, 0.651339, 64.06%, 0.950362
33200, 0.611259, 62.50%, 0.911326
33400, 0.652522, 70.31%, 0.990944
33600, 0.570787, 67.19%, 0.927586
33800, 0.556674, 67.19%, 1.059168
34000, 0.676120, 57.81%, 0.964270
34200, 0.714374, 46.88%, 0.970649
34400, 0.592722, 68.75%, 1.129925
34600, 0.605033, 67.19%, 0.995590
34800, 0.638906, 53.12%, 1.020087
35000, 0.567602, 70.31%, 0.949120
35200, 0.598933, 64.06%, 0.944493
35400, 0.628832, 56.25%, 0.975312
35600, 0.614851, 56.25%, 0.917542
35800, 0.645799, 57.81%, 0.992405
36000, 0.692994, 54.69%, 1.034059
36200, 0.689571, 54.69%, 0.963067
36400, 0.661233, 53.12%, 1.023958
36600, 0.599739, 59.38%, 0.932467
36800, 0.654447, 59.38%, 0.973876
37000, 0.614486, 67.19%, 0.939226
37200, 0.626989, 60.94%, 0.914937
37400, 0.653976, 57.81%, 1.022399
37600, 0.567426, 67.19%, 0.952815
37800, 0.675355, 54.69%, 0.983127
38000, 0.554446, 68.75%, 1.069299
38200, 0.640507, 59.38%, 1.080376
38400, 0.601028, 64.06%, 1.133388
38600, 0.605534, 64.06%, 1.047675
38800, 0.591074, 60.94%, 1.143746
39000, 0.662302, 60.94%, 0.944723
39200, 0.660633, 57.81%, 0.995667
39400, 0.589971, 64.06%, 1.053475
39600, 0.580295, 64.06%, 1.060982
39800, 0.583868, 70.31%, 0.983225
40000, 0.669533, 51.56%, 0.975472
40200, 0.659106, 56.25%, 0.958307
40400, 0.664011, 56.25%, 0.956019
40600, 0.669323, 54.69%, 1.112299
40800, 0.642540, 67.19%, 0.931176
41000, 0.553334, 68.75%, 1.012495
41200, 0.574338, 70.31%, 1.003545
41400, 0.600306, 62.50%, 1.050938
41600, 0.611150, 54.69%, 1.037319
41800, 0.618372, 65.62%, 1.076699
42000, 0.635789, 60.94%, 0.998468
42200, 0.648112, 53.12%, 0.966487
42400, 0.641872, 60.94%, 1.082453
42600, 0.627364, 56.25%, 0.930245
42800, 0.522655, 70.31%, 0.957844
43000, 0.618263, 65.62%, 1.107770
43200, 0.616587, 60.94%, 1.055101
43400, 0.533896, 68.75%, 0.967864
43600, 0.638540, 64.06%, 1.001256
43800, 0.611682, 65.62%, 0.941738
44000, 0.569014, 65.62%, 1.173982
44200, 0.607281, 62.50%, 1.056675
44400, 0.647261, 53.12%, 1.105873
44600, 0.617944, 65.62%, 1.084193
44800, 0.589724, 70.31%, 0.963573
45000, 0.547576, 75.00%, 1.047834
45200, 0.626019, 56.25%, 1.061899
45400, 0.628976, 60.94%, 0.926327
45600, 0.569898, 67.19%, 0.995604
45800, 0.657272, 57.81%, 1.085507
46000, 0.636809, 54.69%, 0.939216
46200, 0.604282, 62.50%, 1.042856
46400, 0.587533, 68.75%, 1.028550
46600, 0.563646, 73.44%, 1.048828
46800, 0.635884, 57.81%, 1.073434
47000, 0.606694, 57.81%, 1.030991
47200, 0.643103, 54.69%, 0.983664
47400, 0.647976, 59.38%, 1.019050
47600, 0.650429, 54.69%, 1.093058
47800, 0.675717, 56.25%, 0.945814
48000, 0.601752, 60.94%, 0.998403
48200, 0.548752, 75.00%, 1.097855
48400, 0.607394, 65.62%, 0.910434
48600, 0.642025, 53.12%, 1.004073
48800, 0.590177, 62.50%, 1.000600
49000, 0.618856, 65.62%, 0.946804
49200, 0.587228, 62.50%, 1.031651
49400, 0.526046, 70.31%, 1.218422
49600, 0.663360, 60.94%, 1.001423
49800, 0.658062, 62.50%, 0.940748
50000, 0.581728, 59.38%, 1.084649
50200, 0.638324, 62.50%, 0.982864
50400, 0.562167, 75.00%, 1.190626
50600, 0.699108, 53.12%, 1.093076
50800, 0.693332, 56.25%, 1.081760
51000, 0.577602, 67.19%, 0.986284
51200, 0.597834, 64.06%, 1.048555
51400, 0.680108, 62.50%, 0.974771
51600, 0.562921, 76.56%, 1.015697
51800, 0.572976, 70.31%, 1.020621
52000, 0.569107, 62.50%, 1.219477
52200, 0.545904, 71.88%, 1.039114
52400, 0.551305, 65.62%, 1.123822
52600, 0.593165, 71.88%, 1.002073
52800, 0.496159, 78.12%, 1.184185
53000, 0.590794, 57.81%, 1.066984
53200, 0.510338, 68.75%, 1.111005
53400, 0.662670, 60.94%, 1.127942
53600, 0.603117, 64.06%, 1.114441
53800, 0.588869, 71.88%, 1.084736
54000, 0.549001, 70.31%, 0.989405
54200, 0.572518, 62.50%, 1.083714
54400, 0.517549, 73.44%, 1.048869
54600, 0.707806, 50.00%, 0.999994
54800, 0.510733, 75.00%, 1.298187
55000, 0.599842, 64.06%, 1.042036
55200, 0.602171, 67.19%, 1.181615
55400, 0.590933, 73.44%, 0.961766
55600, 0.601244, 59.38%, 1.080023
55800, 0.612616, 68.75%, 0.948292
56000, 0.705875, 51.56%, 1.152103
56200, 0.618963, 56.25%, 0.987449
56400, 0.534782, 73.44%, 1.137100
56600, 0.520394, 76.56%, 1.062771
56800, 0.537637, 73.44%, 1.056247
57000, 0.592745, 65.62%, 1.114867
57200, 0.654914, 57.81%, 1.093598
57400, 0.576746, 60.94%, 0.925156
57600, 0.552875, 70.31%, 1.195644
57800, 0.656630, 62.50%, 0.949344
58000, 0.633749, 62.50%, 1.030452
58200, 0.592702, 62.50%, 1.073565
58400, 0.612436, 60.94%, 1.004703
58600, 0.611683, 68.75%, 1.043242
58800, 0.680069, 56.25%, 1.100812
59000, 0.672510, 54.69%, 0.994282
59200, 0.615015, 64.06%, 1.002102
59400, 0.487976, 73.44%, 1.094903
59600, 0.582465, 70.31%, 1.114615
59800, 0.589430, 62.50%, 1.242400
